,State Abbreviation,State Name,Site Type,Site Name
1,AL,Alabama,National Monument,Birmingham Civil Rights
2,AL,Alabama,National Monument,Freedom Riders
3,AL,Alabama,National Military Park,Horseshoe Bend
4,AL,Alabama,National Preserve,Little River Canyon
5,AL,Alabama,Parkway,Natchez Trace
6,AL,Alabama,National Scenic Trail,Natchez Trace
7,AL,Alabama,National Monument,Russell Cave
8,AL,Alabama,National Historic Trail,Selma To Montgomery
9,AL,Alabama,National Historic Trail,Trail Of Tears
10,AL,Alabama,National Historic Site,Tuskegee Airmen
11,AL,Alabama,National Historic Site,Tuskegee Institute
12,AK,Alaska,Wild River,Alagnak
13,AK,Alaska,,Alaska Public Lands
14,AK,Alaska,National Historic Area,Aleutian Islands World War II
15,AK,Alaska,National Monument & Preserve,Aniakchak
16,AK,Alaska,National Preserve,Bering Land Bridge
17,AK,Alaska,National Monument,Cape Krusenstern
18,AK,Alaska,National Park & Preserve,Denali
19,AK,Alaska,National Park & Preserve,Gates Of The Arctic
20,AK,Alaska,National Park & Preserve,Glacier Bay
21,AK,Alaska,,Iñupiat Heritage Center
22,AK,Alaska,National Park & Preserve,Katmai
23,AK,Alaska,National Park,Kenai Fjords
24,AK,Alaska,National Historical Park,Klondike Gold Rush
25,AK,Alaska,National Park,Kobuk Valley
26,AK,Alaska,National Park & Preserve,Lake Clark
27,AK,Alaska,National Preserve,Noatak
28,AK,Alaska,National Historical Park,Sitka
29,AK,Alaska,National Park & Preserve,Wrangell - St Elias
30,AK,Alaska,National Preserve,Yukon - Charley Rivers
31,AS,American Samoa,,National Park of American Samoa
32,AZ,Arizona,National Monument,Canyon de Chelly
33,AZ,Arizona,National Monument,Casa Grande Ruins
34,AZ,Arizona,National Monument,Chiricahua
35,AZ,Arizona,National Memorial,Coronado
36,AZ,Arizona,National Historic Site,Fort Bowie
37,AZ,Arizona,National Recreation Area,Glen Canyon
38,AZ,Arizona,National Park,Grand Canyon
39,AZ,Arizona,National Monument,Grand Canyon-Parashant
40,AZ,Arizona,National Historic Site,Hubbell Trading Post
41,AZ,Arizona,National Historic Trail,Juan Bautista de Anza
42,AZ,Arizona,National Recreation Area,Lake Mead
43,AZ,Arizona,National Monument,Montezuma Castle
44,AZ,Arizona,National Monument,Navajo
45,AZ,Arizona,National Historic Trail,Old Spanish
46,AZ,Arizona,National Monument,Organ Pipe Cactus
47,AZ,Arizona,National Park,Petrified Forest
48,AZ,Arizona,National Monument,Pipe Spring
49,AZ,Arizona,National Park,Saguaro
50,AZ,Arizona,National Monument,Sunset Crater Volcano
51,AZ,Arizona,National Monument,Tonto
52,AZ,Arizona,National Historical Park,Tumacácori
53,AZ,Arizona,National Monument,Tuzigoot
54,AZ,Arizona,National Monument,Walnut Canyon
55,AZ,Arizona,National Monument,Wupatki
56,AR,Arkansas,National Memorial,Arkansas Post
57,AR,Arkansas,National River,Buffalo
58,AR,Arkansas,National Historic Site,Fort Smith
59,AR,Arkansas,National Park,Hot Springs
60,AR,Arkansas,National Historic Site,Little Rock Central High School
61,AR,Arkansas,National Military Park,Pea Ridge
62,AR,Arkansas,National Historic Site,President William Jefferson Clinton Birthplace Home
63,AR,Arkansas,National Historic Trail,Trail Of Tears
64,CA,California,,Alcatraz Island
65,CA,California,National Monument,Cabrillo
66,CA,California,National Historic Trail,California
67,CA,California,National Monument,Castle Mountains
68,CA,California,National Monument,César E. Chávez
69,CA,California,National Park,Channel Islands
70,CA,California,National Park,Death Valley
71,CA,California,National Monument,Devils Postpile
72,CA,California,National Historic Site,Eugene O'Neill
73,CA,California,National Historic Site,Fort Point
74,CA,California,National Recreation Area,Golden Gate
75,CA,California,National Historic Site,John Muir
76,CA,California,National Park,Joshua Tree
77,CA,California,National Historic Trail,Juan Bautista de Anza
78,CA,California,National Park,Lassen Volcanic
79,CA,California,National Monument,Lava Beds
80,CA,California,National Historic Site,Manzanar
81,CA,California,National Preserve,Mojave
82,CA,California,National Monument,Muir Woods
83,CA,California,National Historic Trail,Old Spanish
84,CA,California,National Park,Pinnacles
85,CA,California,National Seashore,Point Reyes
86,CA,California,National Historic Trail,Pony Express
87,CA,California,National Memorial,Port Chicago Naval Magazine
88,CA,California,,Presidio of San Francisco
89,CA,California,National and State Parks,Redwood
90,CA,California,National Historical Park,Rosie the Riveter WWII Home Front
